function_id,target_scheme,target_id,match_type,mapping_status,note
identity-proofing,cbf,CBF-SUP-ADM,relatedMatch,editorial,Administrative where it is a gate on a relationship; core for identity service providers. Related rather than broader for that reason.
identity-proofing,apqc-pcf,apqc-11.0,relatedMatch,editorial,
relationship-onboarding,cbf,CBF-SUP-MKT,relatedMatch,editorial,"CBF's marketing and sales category is the closest fit for a commercial relationship; it does not cover admission to a school or enrolment with a public body, which this function also spans."
relationship-onboarding,apqc-pcf,apqc-3.0,relatedMatch,editorial,"APQC's category is commercial (""Market and Sell Products and Services""). Recorded as the external commercial reading of this function, not as its definition."
identity-lifecycle-management,cbf,CBF-SUP-ADM,relatedMatch,editorial,
eligibility-verification,cbf,CBF-SUP-ADM,relatedMatch,editorial,
access-management,cbf,CBF-SUP-ICT,relatedMatch,editorial,
access-management,apqc-pcf,apqc-8.0,relatedMatch,editorial,
regulatory-compliance,cbf,CBF-SUP-ADM,relatedMatch,editorial,
regulatory-compliance,apqc-pcf,apqc-11.0,relatedMatch,editorial,
sourcing-and-procurement,cbf,CBF-SUP-DIST,relatedMatch,editorial,CBF has no separate procurement category; distribution and logistics is the closest fit.
supply-chain-traceability,cbf,CBF-SUP-DIST,relatedMatch,editorial,
human-capital-management,cbf,CBF-SUP-ADM,relatedMatch,editorial,
human-capital-management,apqc-pcf,apqc-7.0,relatedMatch,editorial,
request-and-complaint-handling,cbf,CBF-SUP-MKT,relatedMatch,editorial,CBF places help desks and call centres in this category.
request-and-complaint-handling,apqc-pcf,apqc-6.0,relatedMatch,editorial,
service-delivery,cbf,CBF-CORE,closeMatch,editorial,"The one alignment to CBF-CORE that is not enterprise-relative: CBF defines the core function as producing the output the enterprise exists to supply, which is how this function is defined. Whose output it is still varies; the identity of the activity does not."
records-management,cbf,CBF-SUP-ADM,relatedMatch,editorial,
contracting-and-signing,cbf,CBF-SUP-ADM,relatedMatch,editorial,
invoicing-and-settlement,cbf,CBF-SUP-ADM,relatedMatch,editorial,
invoicing-and-settlement,apqc-pcf,apqc-9.0,relatedMatch,editorial,
credit-and-risk-assessment,cbf,CBF-SUP-ADM,relatedMatch,editorial,
credit-and-risk-assessment,apqc-pcf,apqc-11.0,relatedMatch,editorial,
claims-handling,cbf,CBF-SUP-MKT,relatedMatch,editorial,After-sales in CBF terms; core for an insurer.
claims-handling,apqc-pcf,apqc-6.0,relatedMatch,editorial,
quality-assurance,cbf,CBF-SUP-ENG,relatedMatch,editorial,
audit-and-assurance,cbf,CBF-SUP-ADM,relatedMatch,editorial,Core for an audit firm; support everywhere else.
audit-and-assurance,apqc-pcf,apqc-11.0,relatedMatch,editorial,
product-compliance,cbf,CBF-SUP-ENG,relatedMatch,editorial,
customs-and-trade-facilitation,cbf,CBF-SUP-DIST,relatedMatch,editorial,
asset-lifecycle-management,cbf,CBF-SUP-OTH,relatedMatch,editorial,
asset-lifecycle-management,apqc-pcf,apqc-10.0,relatedMatch,editorial,
sustainability-reporting,cbf,CBF-SUP-ADM,relatedMatch,editorial,
sustainability-reporting,apqc-pcf,apqc-11.0,relatedMatch,editorial,
tax-administration,cbf,CBF-SUP-ADM,relatedMatch,editorial,
tax-administration,apqc-pcf,apqc-9.0,relatedMatch,editorial,
consent-management,cbf,CBF-SUP-ADM,relatedMatch,editorial,
data-sharing-and-provenance,cbf,CBF-SUP-ICT,relatedMatch,editorial,
data-sharing-and-provenance,apqc-pcf,apqc-8.0,relatedMatch,editorial,
entitlement-administration,cbf,CBF-SUP-ADM,relatedMatch,editorial,
research-and-development,cbf,CBF-SUP-RND,relatedMatch,editorial,
research-and-development,apqc-pcf,apqc-2.0,relatedMatch,editorial,
