value_stream_id,stage_id,position,function_id,stage_label,note
procure-to-pay,source-and-qualify,1,sourcing-and-procurement,Source and qualify,
procure-to-pay,establish-supplier-identity,2,identity-proofing,Establish the supplier is a real legal entity,
procure-to-pay,assess-risk,3,credit-and-risk-assessment,Assess counterparty and financial risk,
procure-to-pay,check-accreditations,4,audit-and-assurance,Check accreditations and audit reports,Where ISO 9001 and GMP certificates are presented.
procure-to-pay,check-conformity,5,product-compliance,Check conformity of what will be supplied,
procure-to-pay,agree-and-sign,6,contracting-and-signing,Agree and sign,
procure-to-pay,establish-provenance,7,supply-chain-traceability,Establish provenance through delivery,
procure-to-pay,clear-border,8,customs-and-trade-facilitation,Clear the border,Only when the supply crosses one.
procure-to-pay,goods-receipt,9,quality-assurance,Goods receipt against specification,
procure-to-pay,invoice-and-pay,10,invoicing-and-settlement,Invoice and payment,
procure-to-pay,substantiate-tax,11,tax-administration,Substantiate the tax position,
procure-to-pay,retain-audit-trail,12,records-management,Retain the audit trail,
order-to-cash,establish-relationship,1,relationship-onboarding,Establish the customer relationship,
order-to-cash,establish-customer-identity,2,identity-proofing,Establish who the customer is,
order-to-cash,decide-terms,3,credit-and-risk-assessment,Decide the terms to offer,
order-to-cash,agree-and-sign,4,contracting-and-signing,Agree and sign,
order-to-cash,deliver,5,service-delivery,Deliver,
order-to-cash,invoice-and-collect,6,invoicing-and-settlement,Invoice and collect,
order-to-cash,handle-requests,7,request-and-complaint-handling,Handle what goes wrong,
order-to-cash,retain-audit-trail,8,records-management,Retain the audit trail,
hire-to-retire,recruit-and-employ,1,human-capital-management,Recruit and employ,
hire-to-retire,establish-candidate-identity,2,identity-proofing,Establish who the candidate is,
hire-to-retire,check-qualifications,3,eligibility-verification,Check right to work and qualifications,
hire-to-retire,agree-and-sign,4,contracting-and-signing,Agree and sign the employment contract,
hire-to-retire,provision-access,5,access-management,Provision and later revoke access,
hire-to-retire,retain-employment-record,6,records-management,Retain the employment record,
