id,pref_label_en,kind,definition
eid-held,Electronic identity held,evidence,"The subject holds a government-issued electronic identity credential."
identity-verified,Identity verified,outcome,"The subject's identity has been established to a stated level of assurance by the relying party."
kyc-attestation-held,KYC attestation held,evidence,"The subject holds a reusable attestation that customer due diligence was completed."
kyc-attestation-current,KYC attestation current,evidence,"The due diligence behind the attestation has been re-evaluated within its validity period."
customer-relationship-open,Customer relationship open,outcome,"A contractual relationship exists between the subject and the organisation."
legal-capacity-established,Legal capacity established,outcome,"The relying party has established that the subject may contract in their own right. Reached from verified attributes rather than from a credential issued for the purpose."
access-granted,Access granted,outcome,"The subject can reach the service or premises the relationship entitles them to."
age-attribute-proven,Age attribute proven,outcome,"A threshold age has been demonstrated to the relying party without disclosing identity. The outcome of an interaction, not something a separate credential attests."
secondary-education-credential-held,Secondary education credential held,evidence,"The subject holds a verifiable school-leaving certificate."
tertiary-enrolment-established,Tertiary enrolment established,outcome,"The subject is enrolled at a higher education institution."
employment-relationship-open,Employment relationship open,outcome,"An employment contract is in force between the subject and an employer."
supplier-accreditation-held,Supplier accreditation held,evidence,"The supplier holds current quality, conformity or sector accreditations in verifiable form."
supplier-qualified,Supplier qualified,outcome,"The buying organisation has accepted the supplier as eligible to be contracted."
patient-record-linked,Patient record linked,outcome,"The person in front of the clinician is bound to the correct medical record."
service-entitlement-established,Service entitlement established,outcome,"The subject's entitlement to a public service has been demonstrated to the body providing it."
