value_stream_id,position,function_id,stage_label,note
procure-to-pay,1,sourcing-and-procurement,Source and qualify,
procure-to-pay,2,identity-proofing,Establish the supplier is a real legal entity,
procure-to-pay,3,credit-and-risk-assessment,Assess counterparty and financial risk,
procure-to-pay,4,audit-and-assurance,Check accreditations and audit reports,Where ISO 9001 and GMP certificates are presented.
procure-to-pay,5,product-compliance,Check conformity of what will be supplied,
procure-to-pay,6,contracting-and-signing,Agree and sign,
procure-to-pay,7,supply-chain-traceability,Establish provenance through delivery,
procure-to-pay,8,customs-and-trade-facilitation,Clear the border,Only when the supply crosses one.
procure-to-pay,9,quality-assurance,Goods receipt against specification,
procure-to-pay,10,invoicing-and-settlement,Invoice and payment,
procure-to-pay,11,tax-administration,Substantiate the tax position,
procure-to-pay,12,records-management,Retain the audit trail,
order-to-cash,1,customer-onboarding,Establish the customer relationship,
order-to-cash,2,identity-proofing,Establish who the customer is,
order-to-cash,3,credit-and-risk-assessment,Decide the terms to offer,
order-to-cash,4,contracting-and-signing,Agree and sign,
order-to-cash,5,service-delivery,Deliver,
order-to-cash,6,invoicing-and-settlement,Invoice and collect,
order-to-cash,7,customer-service,Handle what goes wrong,
order-to-cash,8,records-management,Retain the audit trail,
hire-to-retire,1,human-capital-management,Recruit and employ,
hire-to-retire,2,identity-proofing,Establish who the candidate is,
hire-to-retire,3,eligibility-verification,Check right to work and qualifications,
hire-to-retire,4,contracting-and-signing,Agree and sign the employment contract,
hire-to-retire,5,access-management,Provision and later revoke access,
hire-to-retire,6,records-management,Retain the employment record,
