use_case_id,participation_id,role_id,party,bears_cost,gains_value,note
eid-issuance,issuer,issuer,Federal e-ID issuer,yes,indirect,"Carries the cost of the credential most other use cases here depend on, while the value of verifying it falls to other parties."
eid-issuance,holder,holder,Resident,no,direct,
eid-issuance,trust-anchor,trust-anchor,Federal trust registry,yes,indirect,"Publishes the trust information verifiers use. No credential is presented or verified inside this use case; that happens in the use cases that consume the credential."
banking-kyc-onboarding,issuer,issuer,Bank,yes,direct,"Issues the reusable attestation. A later verification of it by another regulated institution is a separate interaction and is not modelled inside onboarding."
banking-kyc-onboarding,verifier,verifier,Bank,no,none,Checks the presented electronic identity.
banking-kyc-onboarding,relying-party,relying-party,Bank,no,direct,Decides on the verified identity whether to open the relationship.
banking-kyc-onboarding,holder,holder,Customer,no,direct,
banking-re-kyc,issuer,issuer,Bank,yes,direct,
banking-re-kyc,verifier,verifier,Bank,no,none,Checks the attestation it issued itself earlier.
banking-re-kyc,relying-party,relying-party,Bank,no,direct,"Issuer, verifier and relying party are the same institution, which is why this use case needs nobody else's cooperation."
banking-re-kyc,holder,holder,Customer,no,direct,
banking-reidentification-password-reset,verifier,verifier,Bank,no,none,
banking-reidentification-password-reset,relying-party,relying-party,Bank,no,direct,
banking-reidentification-password-reset,holder,holder,Customer,no,direct,
banking-age-of-majority-reidentification,verifier,verifier,Bank,no,none,
banking-age-of-majority-reidentification,relying-party,relying-party,Bank,no,direct,"Establishes legal capacity from the verified date of birth. No credential is issued for that conclusion."
banking-age-of-majority-reidentification,holder,holder,Customer,no,direct,
education-maturitaetszeugnis-issuance,issuer,issuer,Upper-secondary school,yes,indirect,Bears the issuing cost; what it gets back is fewer requests for duplicate copies.
education-maturitaetszeugnis-issuance,verifier,verifier,Upper-secondary school,no,none,Checks the graduate's electronic identity before issuing to it.
education-maturitaetszeugnis-issuance,holder,holder,Graduate,no,direct,
education-university-immatriculation,verifier,verifier,University,no,none,
education-university-immatriculation,relying-party,relying-party,University,no,direct,Decides admission on the verified credentials.
education-university-immatriculation,issuer,issuer,University,yes,direct,Issues the enrolment attestation as part of admitting the student.
education-university-immatriculation,holder,holder,Applicant,no,direct,
retail-hospitality-age-verification,verifier,verifier,Merchant or restaurant,no,none,
retail-hospitality-age-verification,relying-party,relying-party,Merchant or restaurant,no,direct,
retail-hospitality-age-verification,holder,holder,Customer,no,direct,
employment-identity-proofing,verifier,verifier,Employer,no,none,
employment-identity-proofing,relying-party,relying-party,Employer,no,direct,
employment-identity-proofing,issuer,issuer,Employer,yes,direct,Issues the employment attestation once the hire is confirmed.
employment-identity-proofing,holder,holder,Candidate,no,direct,
healthcare-patient-identification,verifier,verifier,Hospital,no,none,
healthcare-patient-identification,relying-party,relying-party,Hospital,no,direct,
healthcare-patient-identification,holder,holder,Patient,no,direct,
egov-service-access,verifier,verifier,Public administration,no,none,
egov-service-access,relying-party,relying-party,Public administration,no,direct,
egov-service-access,issuer,issuer,Public administration,yes,direct,"The party that issues the entitlement attestation and the party that relies on the electronic identity are both the state, so the investment returns to the body making it."
egov-service-access,holder,holder,Resident,no,direct,
supplier-qualification,verifier,verifier,Buying organisation,no,none,"Checks the accreditations the supplier presents: GMP certificates for pharmaceuticals, quality accreditations for aerospace."
supplier-qualification,relying-party,relying-party,Buying organisation,no,direct,Decides on the verified accreditations whether the supplier is eligible to be contracted.
supplier-qualification,issuer-buyer,issuer,Buying organisation,yes,direct,Records its own qualification decision in verifiable form so that an auditor can check it later.
supplier-qualification,holder-buyer,holder,Buying organisation,no,direct,Holds the qualification record it issued to itself. Presenting it to an auditor is a separate interaction.
supplier-qualification,holder-supplier,holder,Supplier,no,direct,
supplier-qualification,trust-anchor,trust-anchor,Accreditation body,yes,indirect,Accredits the certification bodies whose certificates the buying organisation relies on.
