id,name,description,sector_id,jurisdiction,maturity,documented_by,deployment_evidence,governance_ref,note
eid-issuance-ch,Swiss e-ID issuance,The federal issuer identifies a resident and issues the EID into their wallet.,ISIC-8411,CH,Modelled,https://github.com/DIDAS-swiss/Trust-Flow-Diagram-Repository/tree/main/basic-flow,,E-ID Act (BGEID) of 20 December 2024,
eid-presentation-ch,Swiss e-ID presentation and verification,A relying party requests a presentation from the wallet and verifies it against the federal trust infrastructure.,,CH,Modelled,https://github.com/DIDAS-swiss/Trust-Flow-Diagram-Repository/tree/main/basic-flow,,E-ID Act (BGEID) of 20 December 2024,"No sector: this is the infrastructure step every sector's flows perform, which is why it is a flow of its own rather than a step inside each of them."
banking-kyc-onboarding-ch,Swiss bank onboarding with a reusable KYC attestation,"A prospective customer opens an account remotely. The bank verifies the e-ID, completes due diligence and issues a reusable KYC attestation.",ISIC-6419,CH,Modelled,https://github.com/DIDAS-swiss/Trust-Flow-Diagram-Repository/tree/main/banking/KYC%20Credential,,,
banking-re-kyc-ch,Swiss bank periodic KYC re-evaluation,The bank re-runs due diligence on an existing relationship at the supervisory interval.,ISIC-6419,CH,Modelled,https://github.com/DIDAS-swiss/Trust-Flow-Diagram-Repository/tree/main/banking/KYC%20Credential,,,
banking-password-reset-ch,Re-identification after a forgotten password,An e-banking customer who has lost their credentials is re-identified before access is restored.,ISIC-6419,CH,Modelled,https://github.com/DIDAS-swiss/Trust-Flow-Diagram-Repository/tree/main/banking/Re-Identification%20After%20Forgotten%20Password,,,
banking-age-of-majority-ch,Re-identification at the age of majority,"A customer onboarded as a minor turns 18 and the relationship is re-established at full legal capacity, with a qualified electronic signature.",ISIC-6419,CH,Modelled,https://github.com/DIDAS-swiss/Trust-Flow-Diagram-Repository/tree/main/banking/Re-Identification%20at%20Age%20of%20Majority,,,
education-matura-issuance-ch,Maturitätszeugnis issuance,An upper-secondary school issues the gymnasiale Maturitätszeugnis to the graduate as a verifiable credential.,ISIC-8531,CH,Modelled,https://github.com/DIDAS-swiss/Trust-Flow-Diagram-Repository/tree/main/education,,,
education-efz-issuance-ch,Federal vocational certificate issuance,"A vocational school issues the eidgenössisches Fähigkeitszeugnis to the apprentice as a verifiable credential. The same pattern as the Maturität flow, a different credential.",ISIC-8531,CH,Exploratory,,,,
education-immatriculation-ch,Swiss university immatriculation,"A university admits a student on the e-ID and an upper-secondary qualification, without re-collecting paper documents.",ISIC-8540,CH,Modelled,https://github.com/DIDAS-swiss/Trust-Flow-Diagram-Repository/tree/main/education,,,
retail-age-check-ch,Age check at a retail point of sale,A merchant checks that a customer is over the legal age for a restricted product.,ISIC-4711,CH,Exploratory,,,,
hospitality-age-check-ch,Age check in hospitality,"A restaurant checks that a guest is over the legal age for a restricted product. The same pattern as the retail flow, a different sector.",ISIC-5610,CH,Exploratory,,,,
employment-onboarding-ch,Employee onboarding,"An employer identifies a new hire, checks the qualifications the role requires and engages them.",ISIC-C,CH,Exploratory,,,,"One flow realising three canonical patterns in sequence. Keeping it out of the taxonomy is the point: the three patterns are reusable, this composition of them is not."
healthcare-admission-ch,Patient identification at admission,A hospital identifies a patient at admission and links them to the right record.,ISIC-8610,CH,Exploratory,,,,
egov-portal-ch,Government service portal access,A resident authenticates to a public-administration service portal and discloses the attributes that service requires.,ISIC-8411,CH,Exploratory,,,,
supplier-qualification-pharma,Pharmaceutical supplier qualification,A pharmaceutical manufacturer qualifies a supplier against GMP certification.,ISIC-2100,CH,Exploratory,,,,
supplier-qualification-aerospace,Aerospace supplier qualification,"An aerospace manufacturer qualifies a supplier against quality accreditations. The same pattern as the pharmaceutical flow, a different sector.",ISIC-3030,CH,Exploratory,,,,
